name,citrate,lysin,ornithine,urease,tda,nitrate,h2s,glucose,adonitol,lactose,arabinose,sorbitol
Aeromonas caviae,v,negative,negative,negative,negative,positive,negative,positive,negative,v,positive,negative
Aeromonas eucrenophila,negative,negative,negative,negative,v,positive,negative,positive,negative,negative,positive,negative
Aeromonas hydrophila,v,v,negative,negative,negative,positive,positive,positive,negative,v,positive,negative
Aeromonas media,v,negative,negative,negative,v,positive,negative,positive,negative,v,positive,negative
Aeromonas veronii,positive,positive,positive,negative,v,positive,negative,positive,negative,negative,negative,negative
Budvicia aquatica,negative,negative,negative,v,negative,positive,v,positive,negative,v,v,negative
Buttiauxella agrestis,positive,negative,positive,negative,negative,positive,negative,positive,negative,positive,positive,negative
Cedecea davisae,positive,negative,positive,negative,negative,positive,negative,positive,negative,v,negative,negative
Cedecea lapagei,positive,negative,negative,negative,negative,positive,negative,positive,negative,v,negative,negative
Cedecea neteri,positive,negative,negative,negative,negative,positive,negative,positive,negative,v,negative,positive
Citrobacter amalonaticus,v,negative,positive,v,negative,positive,negative,positive,negative,v,positive,positive
Citrobacter diversus,positive,negative,positive,v,negative,positive,negative,positive,positive,positive,positive,positive
Citrobacter freuunknownii,positive,negative,v,v,negative,positive,v,positive,negative,v,positive,positive
Enterobacter aerogenes,positive,positive,positive,negative,negative,positive,negative,positive,positive,positive,positive,positive
Enterobacter amnigenus (Biogroup I),v,negative,v,negative,negative,positive,negative,positive,negative,v,positive,negative
Enterobacter amnigenus(Biogroup II),positive,negative,positive,negative,negative,positive,negative,positive,negative,v,positive,positive
Enterobacter taylorae (E. cancerogenus),positive,negative,positive,negative,negative,positive,negative,positive,negative,negative,positive,negative
Enterobacter clocae,positive,negative,positive,v,negative,positive,negative,positive,v,positive,positive,positive
Enterobacter gergoviae,positive,positive,positive,positive,negative,positive,negative,positive,negative,v,positive,negative
Enterobacter sakazakii,positive,negative,positive,negative,v,positive,negative,positive,negative,positive,positive,negative
Escherichia coli,negative,positive,v,negative,negative,positive,negative,positive,negative,positive,positive,positive
Escherichia coli (inactive),negative,v,v,negative,negative,positive,negative,positive,negative,v,v,v
Escherichia blattae,v,positive,positive,negative,negative,positive,negative,positive,negative,negative,positive,negative
Escherichia fergusonii,v,positive,positive,negative,negative,positive,negative,positive,positive,negative,positive,negative
Escherichia hermannii,negative,negative,positive,negative,negative,positive,negative,positive,negative,v,positive,negative
Escherichia vulneris,negative,v,negative,negative,negative,positive,negative,positive,negative,v,positive,negative
Ewingella americana,positive,negative,negative,negative,negative,positive,negative,positive,negative,v,negative,negative
